feature,dtype,missing_count,missing_percent,unique_values,memory_mb
num_tl_90g_dpd_24m,float32,0,0.0,27,3.41
num_op_rev_tl,float32,0,0.0,72,3.41
num_rev_accts,float32,1,0.0,103,3.41
num_rev_tl_bal_gt_0,float32,0,0.0,44,3.41
num_sats,float32,0,0.0,81,3.41
num_accts_ever_120_pd,float32,0,0.0,38,3.41
num_actv_bc_tl,float32,0,0.0,34,3.41
mort_acc,float32,0,0.0,39,3.41
num_actv_rev_tl,float32,0,0.0,51,3.41
num_bc_sats,float32,0,0.0,50,3.41
pub_rec_bankruptcies,float32,0,0.0,12,3.41
tax_liens,float32,0,0.0,31,3.41
tot_hi_cred_lim,float32,0,0.0,363617,3.41
num_tl_30dpd,float32,0,0.0,5,3.41
num_tl_op_past_12m,float32,0,0.0,31,3.41
num_il_tl,float32,0,0.0,111,3.41
num_bc_tl,float32,0,0.0,65,3.41
hardship_flag,category,0,0.0,1,0.85
disbursement_method,category,0,0.0,2,0.85
debt_settlement_flag,category,0,0.0,2,0.85
target,int8,0,0.0,2,0.85
